model_type,parameter_size,trial,logrows,proving_time,peak_ram_mb,proof_size_mb
Sigmoid,10500,3,17,52.76053190231323,2.4357175827026367,2.9831581115722656
Sigmoid,10500,4,17,53.280293226242065,2.4357175827026367,2.982741355895996
Sigmoid,10500,5,17,53.4656822681427,2.4357175827026367,2.9830808639526367
Sigmoid,11000,1,17,53.64850640296936,2.551112174987793,3.123074531555176
Sigmoid,11000,2,17,53.96527814865112,2.551112174987793,3.123445510864258
Sigmoid,11000,3,17,53.49751281738281,2.551112174987793,3.1234874725341797
Sigmoid,11000,4,17,53.43063998222351,2.551112174987793,3.1234664916992188
Sigmoid,11000,5,17,53.249375104904175,2.551112174987793,3.123318672180176
Sigmoid,11500,1,17,52.45605254173279,2.666506767272949,3.2637691497802734
Sigmoid,11500,2,17,53.38494563102722,2.666506767272949,3.2636489868164062
Sigmoid,11500,3,17,53.81170892715454,2.666506767272949,3.263317108154297
Sigmoid,11500,4,17,54.164167642593384,2.666506767272949,3.2639503479003906
Sigmoid,11500,5,17,54.62176847457886,2.666506767272949,3.2636356353759766
Sigmoid,12000,1,17,53.25622200965881,2.7819013595581055,3.4043407440185547
Sigmoid,12000,2,17,53.81526565551758,2.7819013595581055,3.404397964477539
Sigmoid,12000,3,17,53.470585346221924,2.7819013595581055,3.4042768478393555
Sigmoid,12000,4,17,53.590397119522095,2.7819013595581055,3.4045190811157227
Sigmoid,12000,5,17,53.190509557724,2.7819013595581055,3.403925895690918
Sigmoid,12500,1,17,53.636444330215454,2.8972959518432617,3.544692039489746
Sigmoid,12500,2,17,53.852646827697754,2.8972959518432617,3.544830322265625
Sigmoid,12500,3,17,54.13861417770386,2.8972959518432617,3.5445995330810547
Sigmoid,12500,4,17,64.93568420410156,2.8972959518432617,3.544915199279785
Sigmoid,12500,5,17,63.140517711639404,2.8972959518432617,3.544879913330078
Sigmoid,13000,1,17,61.50239539146423,3.012690544128418,3.68511962890625
Sigmoid,13000,2,17,60.75143337249756,3.012690544128418,3.6850976943969727
Sigmoid,13000,3,17,61.2454092502594,3.012690544128418,3.6853227615356445
Sigmoid,13000,4,17,62.18941259384155,3.012690544128418,3.684908866882324
Sigmoid,13000,5,17,61.21170926094055,3.012690544128418,3.684968948364258
Sigmoid,13500,1,17,59.581403732299805,3.128085136413574,3.8255481719970703
Sigmoid,13500,2,17,59.18729519844055,3.128085136413574,3.825373649597168
Sigmoid,13500,3,17,57.87360167503357,3.128085136413574,3.8255138397216797
Sigmoid,13500,4,17,53.69177579879761,3.128085136413574,3.8256540298461914
Sigmoid,13500,5,17,53.25499939918518,3.128085136413574,3.8255529403686523
Sigmoid,14000,1,17,52.89708209037781,3.2434797286987305,3.966160774230957
Sigmoid,14000,2,17,53.15099740028381,3.2434797286987305,3.965996742248535
Sigmoid,14000,3,17,59.59592056274414,3.2434797286987305,3.965733528137207
Sigmoid,14000,4,17,64.43809413909912,3.2434797286987305,3.96579647064209
Sigmoid,14000,5,17,59.77340054512024,3.2434797286987305,3.9660282135009766
Sigmoid,14500,1,17,60.58812689781189,3.3588743209838867,4.106001853942871
Sigmoid,14500,2,17,59.89853858947754,3.3588743209838867,4.106601715087891
Sigmoid,14500,3,17,59.84165287017822,3.3588743209838867,4.1063232421875
Sigmoid,14500,4,17,64.12732291221619,3.3588743209838867,4.107000350952148
Sigmoid,14500,5,17,64.41914892196655,3.3588743209838867,4.106595993041992
Sigmoid,15000,1,17,64.38449811935425,3.474268913269043,4.24653434753418
Sigmoid,15000,2,17,63.51061248779297,3.474268913269043,4.247392654418945
Sigmoid,15000,3,17,63.64513969421387,3.474268913269043,4.246875762939453
Sigmoid,15000,4,17,63.552380323410034,3.474268913269043,4.246865272521973
Sigmoid,15000,5,17,64.0124499797821,3.474268913269043,4.2467145919799805
Sigmoid,15500,1,17,63.158846855163574,3.589663505554199,4.387171745300293
Sigmoid,15500,2,17,62.697378635406494,3.589663505554199,4.38715934753418
Sigmoid,15500,3,17,62.44045901298523,3.589663505554199,4.387258529663086
Sigmoid,15500,4,17,62.86713767051697,3.589663505554199,4.387075424194336
Sigmoid,15500,5,17,58.93687343597412,3.589663505554199,4.387434959411621
Sigmoid,16000,1,17,62.59163856506348,3.7050580978393555,4.527492523193359
Sigmoid,16000,2,17,62.7858624458313,3.7050580978393555,4.527771949768066
Sigmoid,16000,3,17,63.19373106956482,3.7050580978393555,4.528021812438965
Sigmoid,16000,4,17,60.145636320114136,3.7050580978393555,4.527524948120117
Sigmoid,16000,5,17,59.3769006729126,3.7050580978393555,4.527322769165039
Sigmoid,16500,1,17,89.30653119087219,3.8257627487182617,4.682684898376465
Sigmoid,16500,2,17,90.79136443138123,3.8257627487182617,4.682094573974609
Sigmoid,16500,3,17,91.34153747558594,3.8257627487182617,4.681879997253418
Sigmoid,16500,4,17,91.09392929077148,3.8257627487182617,4.682645797729492
Sigmoid,16500,5,17,91.31575870513916,3.8257627487182617,4.682458877563477
